Sleutel,Naam,Link
77,Sky Radio Lounge,http://playerservices.streamtheworld.com/api/livestream-redirect/SRGSTR07.mp3
78,Sky Radio Lovesongs,http://playerservices.streamtheworld.com/api/livestream-redirect/SRGSTR03.mp3
79,Sky Radio NonStop @ Work,http://playerservices.streamtheworld.com/api/livestream-redirect/SRGSTR24.mp3
80,Sky Radio 80's Hits,http://playerservices.streamtheworld.com/api/livestream-redirect/SRGSTR04.mp3
81,Sky Radio 90's Hits,http://playerservices.streamtheworld.com/api/livestream-redirect/SRGSTR05.mp3
82,Sky Radio Christmas / Summer,http://playerservices.streamtheworld.com/api/livestream-redirect/SRGSTR08.mp3
83,Sky Radio Pop Up,http://playerservices.streamtheworld.com/api/livestream-redirect/SRGSTR28.mp3
84,Sky Radio Smooth Hits,http://playerservices.streamtheworld.com/api/livestream-redirect/SRGSTR15.mp3
85,Slam! Hardstyle,https://stream.slam.nl/web11_mp3
86,Slam! The Boom Room,https://stream.slam.nl/web12_mp3
87,Slam! NonStop,https://stream.slam.nl/web10_mp3
88,Slam! Juize,https://stream.slam.nl/web09_mp3
89,Slam! MixMarathon,https://stream.slam.nl/web13_mp3
90,Slam! 40,https://stream.slam.nl/web14_mp3
91,Slam! Summer,https://stream.slam.nl/web08_mp3
92,Slam! 00's,https://stream.slam.nl/web15_mp3
93,Slam! Housuh in de Pauzuh,https://stream.slam.nl/web16_mp3
94,Sublime Popup,https://21313.live.streamtheworld.com/SUBLIMEPLAYGROUND.mp3
95,Sublime Funk Disco,https://21293.live.streamtheworld.com/SUBLIME_FUNK_DISCO.mp3
96,Sublime Soul 1000,https://20133.live.streamtheworld.com/SUBLIMESOUL.mp3
97,Sublime 500,https://22193.live.streamtheworld.com/SUBLIME500.mp3
98,Sublime Smooth,https://22673.live.streamtheworld.com/SUBLIMESMOOTH.mp3
99,Sublime presents Arrow Jazz FM,https://22193.live.streamtheworld.com/SUBLIMEARROWJAZZ.mp3
